timestamp,time_bucket_5min,link_id,road_name,road_category,speed_band,min_speed,max_speed
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28386,TUAS AVENUE 8,4,1,0,9,1.330198,103.650208,1.330167,103.650241
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28468,TUAS AVENUE 8,4,5,40,49,1.330328,103.650391,1.330167,103.650241
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28581,TUAS AVENUE 8,4,2,10,19,1.332389,103.652341,1.332426,103.652301
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28584,TUAS AVENUE 8,4,4,30,39,1.331902,103.651813,1.332326,103.652208
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28598,TUAS AVENUE 8,4,1,0,9,1.328553,103.64866,1.32852,103.648694
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28623,TUAS AVENUE 8,4,6,50,59,1.3297,103.649799,1.329462,103.649579
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28624,TUAS AVENUE 8,4,6,50,59,1.32852,103.648694,1.328357,103.64854
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28637,TUAS AVENUE 8,4,2,10,19,1.330198,103.650208,1.33036,103.650361
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28649,TUAS AVENUE 8,4,2,10,19,1.328755,103.648848,1.328871,103.64896
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28656,TUAS AVENUE 8,4,4,30,39,1.32775,103.647911,1.327916,103.648065
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28688,TUAS AVENUE 8,4,2,10,19,1.32669,103.646972,1.326721,103.646941
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28693,TUAS AVENUE 8,4,1,0,9,1.327116,103.64731,1.327083,103.647342
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28712,TUAS AVENUE 8,4,2,10,19,1.332288,103.652248,1.332326,103.652208
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28740,TUAS AVENUE 8,4,1,0,9,1.328871,103.64896,1.328837,103.64899
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28748,TUAS AVENUE 8,4,2,10,19,1.332426,103.652301,1.332389,103.652341
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28756,TUAS AVENUE 8,4,1,0,9,1.33064,103.650684,1.330672,103.650652
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28801,TUAS AVENUE 8,4,1,0,9,1.325881,103.646215,1.325913,103.646176
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28804,TUAS AVENUE 8,4,1,0,9,1.325913,103.646176,1.325881,103.646215
